step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
273,CASH_IN,23596.65,C401976354,1178873.8,1202470.45,C428534746,506097.67,482501.02,0,0
260,PAYMENT,8318.03,C574418419,18688.73,10370.7,M1329095867,0.0,0.0,0,0
134,CASH_OUT,304895.54,C880003033,25780.0,0.0,C481098755,0.0,304895.54,0,0
308,PAYMENT,2536.11,C520115077,0.0,0.0,M1951833073,0.0,0.0,0,0
17,CASH_OUT,462668.1,C1222385491,0.0,0.0,C453211571,11899495.58,12362163.68,0,0
581,TRANSFER,155002.83,C1691713014,155002.83,0.0,C71357990,0.0,0.0,1,0
137,CASH_IN,230630.03,C1873367958,3441454.26,3672084.3,C1637201603,979521.53,748891.49,0,0
346,PAYMENT,21924.25,C895497726,0.0,0.0,M1480409562,0.0,0.0,0,0
563,CASH_OUT,400309.33,C1209038609,11305.0,0.0,C1330577769,29117.98,429427.31,0,0
19,PAYMENT,19875.8,C1942521018,19492.0,0.0,M1724034356,0.0,0.0,0,0
255,CASH_IN,126922.6,C923472990,1729801.88,1856724.48,C2082601009,1830440.51,1703517.91,0,0
718,TRANSFER,9749042.95,C1040320190,9749042.95,0.0,C598263954,0.0,0.0,1,0
256,PAYMENT,2417.77,C2040299426,59106.0,56688.23,M801229895,0.0,0.0,0,0
594,CASH_IN,355077.74,C1007415518,0.0,355077.74,C686904438,3149408.32,2794330.58,0,0
327,CASH_OUT,86827.82,C1577030233,30618.0,0.0,C290062990,47824.81,134652.64,0,0
250,CASH_OUT,326394.0,C1732640667,0.0,0.0,C817636941,354113.9,680507.89,0,0
233,CASH_IN,220408.49,C1618153846,1945761.4,2166169.9,C661521303,828106.27,531343.34,0,0
42,CASH_IN,23052.86,C799004008,65101.0,88153.86,C2089547653,0.0,49344.41,0,0
403,CASH_OUT,227889.58,C549703225,0.0,0.0,C1124943593,708115.05,936004.63,0,0
285,PAYMENT,4792.22,C1060139357,13286.0,8493.78,M1626146586,0.0,0.0,0,0
178,PAYMENT,8460.8,C1706852057,77718.0,69257.2,M2114526179,0.0,0.0,0,0
